variant,seed,f1,auc,accuracy
botrgcn,42,0.8769,0.9284,0.8614
botrgcn,123,0.8753,0.9310,0.8605
botrgcn,456,0.8768,0.9309,0.8622
botrgcn,789,0.8736,0.9331,0.8588
botrgcn,2024,0.8790,0.9340,0.8639
botrgcn,7,0.8762,0.9317,0.8605
botrgcn,13,0.8797,0.9326,0.8648
botrgcn,99,0.8715,0.9312,0.8555
botrgcn,2025,0.8774,0.9305,0.8622
botrgcn,314,0.8790,0.9302,0.8639
botrgcn,1618,0.8783,0.9321,0.8622
botrgcn,271,0.8801,0.9310,0.8639
botrgcn,577,0.8806,0.9298,0.8648
botrgcn,999,0.8771,0.9336,0.8614
botrgcn,8128,0.8766,0.9279,0.8605
